display_name,current_priority_rank_before_pass,inflation_risk_band_before_pass,verification_sensitivity_before_pass,strict_engagement_count_before,strict_engagement_count_after,page_type_mix_before,page_type_mix_after,known_outcome_count_before,known_outcome_count_after,outcome_profile_before,outcome_profile_after,rank_hierarchical_trust_v2_before,rank_hierarchical_trust_v2_after,rank_hierarchical_weighted_before,rank_hierarchical_weighted_after,trust_tier_before,trust_tier_after,trust_confidence_before,trust_confidence_after,changed_row_count,remaining_unknown_count_after,outcome_audit_group
Suleiman the Magnificent,1,high_priority_manual_audit,high,16,16,B=16; O=0; C=0; W=0,B=16; O=0; C=0; W=0,12,16,V=11; D=0; N=0; U=4,V=11; D=3; N=1; U=0,1.0,2.0,1.0,3.0,high_confidence_upper_band,model_sensitive_band,moderate,caution,4,0,major_correction
Douglas MacArthur,4,high_priority_manual_audit,high,22,22,B=18; O=3; C=0; W=1,B=18; O=3; C=0; W=1,18,18,V=14; D=4; N=0; U=4,V=14; D=4; N=0; U=4,4.0,4.0,4.0,4.0,model_sensitive_band,model_sensitive_band,caution,caution,0,4,no_material_change
Nader Shah,22,high_priority_manual_audit,high,20,20,B=17; O=0; C=0; W=3,B=17; O=0; C=0; W=3,15,16,V=12; D=3; N=0; U=5,V=12; D=4; N=0; U=4,22.0,48.0,35.0,98.0,model_sensitive_band,model_sensitive_band,caution,caution,1,4,still_unresolved_needs_manual_judgment
Abbas the Great,33,high_priority_manual_audit,high,6,6,B=6; O=0; C=0; W=0,B=6; O=0; C=0; W=0,6,6,V=5; D=1; N=0; U=0,V=5; D=1; N=0; U=0,33.0,31.0,33.0,32.0,model_sensitive_band,model_sensitive_band,caution,caution,0,0,no_material_change
William Halsey Jr.,57,materially_inflated,high,10,10,B=6; O=4; C=0; W=0,B=6; O=4; C=0; W=0,6,7,V=6; D=0; N=0; U=4,V=6; D=1; N=0; U=3,,,,,,,,,1,3,modest_correction
Nelson A. Miles,181,materially_inflated,high,5,5,B=3; O=0; C=0; W=2,B=3; O=0; C=0; W=2,3,3,V=2; D=0; N=0; U=2,V=2; D=0; N=0; U=2,181.0,181.0,157.0,157.0,outside_trust_headline,outside_trust_headline,caution,caution,0,2,no_material_change
Dwight D. Eisenhower,5,high_priority_manual_audit,high,13,13,B=5; O=7; C=0; W=1,B=5; O=7; C=0; W=1,7,7,V=6; D=1; N=0; U=6,V=6; D=1; N=0; U=6,5.0,5.0,5.0,5.0,model_sensitive_band,model_sensitive_band,caution,caution,0,6,no_material_change
Peter the Great,63,materially_inflated,high,10,10,B=7; O=0; C=0; W=3,B=7; O=0; C=0; W=3,9,9,V=7; D=1; N=1; U=1,V=7; D=1; N=1; U=1,,,,,,,,,0,1,no_material_change
Flavius Aetius,36,high_priority_manual_audit,moderate,6,6,B=6; O=0; C=0; W=0,B=6; O=0; C=0; W=0,4,5,V=4; D=0; N=0; U=2,V=4; D=1; N=0; U=1,36.0,,20.0,,model_sensitive_band,,caution,,1,1,major_correction
Ivan Sirko,95,materially_inflated,high,10,10,B=10; O=0; C=0; W=0,B=10; O=0; C=0; W=0,1,1,V=1; D=0; N=0; U=9,V=1; D=0; N=0; U=9,95.0,95.0,31.0,30.0,model_sensitive_band,model_sensitive_band,caution,caution,0,9,no_material_change
Holland M. Smith,124,materially_inflated,high,5,5,B=5; O=0; C=0; W=0,B=5; O=0; C=0; W=0,5,5,V=5; D=0; N=0; U=0,V=5; D=0; N=0; U=0,,,,,,,,,0,0,no_material_change
Charles XIV John,6,high_priority_manual_audit,moderate,21,21,B=16; O=0; C=0; W=5,B=16; O=0; C=0; W=5,16,16,V=15; D=1; N=0; U=5,V=15; D=1; N=0; U=5,6.0,6.0,8.0,8.0,robust_elite_core,robust_elite_core,high,high,0,5,no_material_change
Joseph Stalin,24,high_priority_manual_audit,high,17,17,B=5; O=6; C=0; W=6,B=5; O=6; C=0; W=6,6,7,V=5; D=1; N=0; U=11,V=5; D=2; N=0; U=10,24.0,45.0,37.0,88.0,model_sensitive_band,model_sensitive_band,caution,caution,1,10,still_unresolved_needs_manual_judgment
Živojin Mišić,25,high_priority_manual_audit,moderate,9,9,B=5; O=3; C=0; W=1,B=5; O=3; C=0; W=1,6,6,V=6; D=0; N=0; U=3,V=6; D=0; N=0; U=3,25.0,23.0,21.0,20.0,model_sensitive_band,model_sensitive_band,caution,caution,0,3,no_material_change
Napoleon Bonaparte,3,high_priority_manual_audit,moderate,67,67,B=65; O=0; C=0; W=2,B=65; O=0; C=0; W=2,58,58,V=49; D=9; N=0; U=9,V=49; D=9; N=0; U=9,3.0,3.0,3.0,2.0,robust_elite_core,robust_elite_core,very_high,very_high,0,9,no_material_change
Khalid ibn al-Walid,44,high_priority_manual_audit,moderate,41,41,B=40; O=0; C=0; W=1,B=40; O=0; C=0; W=1,32,33,V=31; D=0; N=1; U=9,V=31; D=0; N=2; U=8,44.0,41.0,53.0,50.0,model_sensitive_band,model_sensitive_band,caution,caution,1,8,still_unresolved_needs_manual_judgment
